SIGLA,DISCIPLINA,TPEI,CURSOS,,,,,,,,,,,,,,,,RECOMENDACOES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHT3068-15,MECANICA CLASSICA I,4-0-0-4,BFIS - BACHARELADO EM FISICA (OBR),BM - BACHARELADO EM MATEMATICA (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,,,,,,,FENOMENOS MECANICOS,FISICA DO CONTINUO,FISICA ONDULATORIA,FUNCOES DE VARIAS VARIAVEIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHT3069-15,MECANICA CLASSICA II,4-0-0-4,BFIS - BACHARELADO EM FISICA (OBR),BM - BACHARELADO EM MATEMATICA (OL),,,,,,,,,,,,,,,MECANICA CLASSICA I,CALCULO VETORIAL E TENSORIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ3075-15,MECANICA CLASSICA III,4-0-0-4,BFIS - BACHARELADO EM FISICA (OL),BM - BACHARELADO EM MATEMATICA (OL),,,,,,,,,,,,,,,MECANICA CLASSICA II,VARIAVEIS COMPLEXAS E APLICACOES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTO015-17,MECANICA DOS FLUIDOS I,4-0-0-5,EAER - ENGENHARIA AEROESPACIAL (OBR),EAU - ENGENHARIA AMBIENTAL E URBANA (OL),EBIO - ENGENHARIA BIOMEDICA (OL),EENE - ENGENHARIA DE ENERGIA (OBR),EGES - ENGENHARIA DE GESTAO (OL),"EIAR - ENGENHARIA DE INSTRUMENTACAO, AUTOMACAO E ROBOTICA (OBR)",EINF - ENGENHARIA DE INFORMACAO (OL),EMAT - ENGENHARIA DE MATERIAIS (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,FENOMENOS TERMICOS,FUNCOES DE UMA VARIAVEL,FUNCOES DE VARIAS VARIAVEIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTE024-17,MECANICA DOS FLUIDOS II,4-0-0-5,EENE - ENGENHARIA DE ENERGIA (OBR),,,,,,,,,,,,,,,,MECANICA DOS FLUIDOS I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTO008-17,MECANICA DOS SOLIDOS I,3-1-0-5,EAER - ENGENHARIA AEROESPACIAL (OBR),EAU - ENGENHARIA AMBIENTAL E URBANA (OBR),EBIO - ENGENHARIA BIOMEDICA (OBR),EENE - ENGENHARIA DE ENERGIA (OBR),EGES - ENGENHARIA DE GESTAO (OBR),"EIAR - ENGENHARIA DE INSTRUMENTACAO, AUTOMACAO E ROBOTICA (OBR)",EINF - ENGENHARIA DE INFORMACAO (OBR),EMAT - ENGENHARIA DE MATERIAIS (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,FUNCOES DE UMA VARIAVEL,FENOMENOS MECANICOS,GEOMETRIA ANALITICA,FUNDAMENTOS DE DESENHO TECNICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZS018-17,MECANICA DOS SOLIDOS II,4-0-0-5,EAER - ENGENHARIA AEROESPACIAL (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,,,,,,,,MECANICA DOS SOLIDOS I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHT3036-15,MECANICA ESTATISTICA,6-0-0-6,BFIS - BACHARELADO EM FISICA (OBR),BM - BACHARELADO EM MATEMATICA (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,,,,,,,MECANICA CLASSICA I,PRINCIPIOS DE TERMODINAMICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHT3037-13,MECANICA GERAL,4-0-0-4,LFIS - LICENCIATURA EM FISICA (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,,,,,,,,FENOMENOS MECANICOS,GEOMETRIA ANALITICA,FUNCOES DE UMA VARIAVEL,FUNCOES DE VARIAS VARIAVEIS,INTRODUCAO AS EQUACOES DIFERENCIAIS E ORDINARIAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHT3072-15,MECANICA QUANTICA I,6-0-0-10,BFIS - BACHARELADO EM FISICA (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,,,,,,,,FISICA QUANTICA,INTERACOES ATOMICAS E MOLECULARES,FUNCOES DE VARIAS VARIAVEIS,INTRODUCAO AS EQUACOES DIFERENCIAIS ORDINARIAS,ALGEBRA LINEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHT3073-15,MECANICA QUANTICA II,4-0-0-4,BFIS - BACHARELADO EM FISICA (OBR),,,,,,,,,,,,,,,,MECANICA QUANTICA I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ3077-15,MECANICA QUANTICA III,4-0-0-4,BFIS - BACHARELADO EM FISICA (OL),,,,,,,,,,,,,,,,MECANICA QUANTICA II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHT4024-15,MECANISMOS DE REACOES ORGANICAS,4-0-0-6,BQ - BACHARELADO EM QUIMICA (OBR),LQ - LICENCIATURA EM QUIMICA (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),LM - LICENCIATURA EM MATEMATICA (OL),,,,,,,,,,,,FUNCOES E REACOES ORGANICAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ4062-15,MEIO AMBIENTE E INDUSTRIA,2-0-0-2,BQ - BACHARELADO EM QUIMICA (OL),,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZP044-14,MEIO AMBIENTE E POLITICAS PUBLICAS,4-0-0-4,BPP - BACHARELADO EM POLITICAS PUBLICAS (OL),BPT - BACHARELADO EM PLANEJAMENTO TERRITORIAL (OL),,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZC013-15,MEMORIA E APRENDIZAGEM,4-0-0-4,BN - BACHARELADO EM NEUROCIENCIA (OL),LM - LICENCIATURA EM MATEMATICA (OL),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OL),,,,,,,,,,,,"INTRODUCAO A NEUROCIENCIA,FUNDAMENTOS DE MORFOFISIOLOGIA HUMANA, PSICOLOGIA COGNITIVA, PSICOLOGIA EXPERIMENTAL, BIOFISICA DE MEMBRANAS, NEUROCIENCIA TEORICA E COMPUTACIONAL, NEUROBIOLOGIA MOLECULAR E CELULAR, NEUROANATOMIA, NEUROSICOFARMACOLOGIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZP026-13,"MEMORIA, IDENTIDADES SOCIAIS E CIDADANIA NAS SOCIEDADES COMPLEXAS CONTEMPORANEAS",4-0-0-4,BPP - BACHARELADO EM POLITICAS PUBLICAS (L),,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZT006-17,MERCADO IMOBILIARIO,4-0-0-4,BPT - BACHARELADO EM PLANEJAMENTO TERRITORIAL (OL),,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ2124-18,METAFISICA ANALITICA,4-0-0-4,BFIL - BACHARELADO EM FILOSOFIA (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,,LOGICA BASICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ2126-18,METAFISICA CLASSICA,4-0-0-4,BFIL - BACHARELADO EM FILOSOFIA (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZM023-17,METALURGIA FISICA,4-0-0-4,EMAT - ENGENHARIA DE MATERIAIS (OL),,,,,,,,,,,,,,,,MATERIAIS METALICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ2125-18,METAMETAFISICA E METAONTOLOGIA,4-0-0-4,BFIL - BACHARELADO EM FILOSOFIA (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),,,,,,,,,,,,,,,LOGICA BASICA,TOPICOS DE METAFISICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZB022-17,METATEOREMAS DA LOGICA CLASSICA,4-0-0-4,BM - BACHARELADO EM MATEMATICA (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,,,BASES MATEMATICAS,FUNCOES DE UMA VARIAVEL,BASES EPISTEMOLOGICAS DA CIENCIA MODERNA,LOGICA BASICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZG042-17,METODOLOGIA DE ANALISE DE RISCOS,0-2-0-3,EGES - ENGENHARIA DE GESTAO (OL),,,,,,,,,,,,,,,,ENGENHARIA ECONOMICA APLICADA A SISTEMAS DE GESTAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHZ0022-19,METODOLOGIA DO ENSINO DE GEOGRAFIA,4-0-0-4,LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHZ0023-19,METODOLOGIA EM HISTORIA,4-0-0-4,LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIE0001-19,METODOLOGIAS DE PESQUISA EM EDUCACAO,2-0-0-4,LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OBR),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OBR),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),LFIS - LICENCIATURA EM FISICA (OBR),LFIL - LICENCIATURA EM FILOSOFIA (OBR),LQ - LICENCIATURA EM QUIMICA (OBR),LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OBR),LM - LICENCIATURA EM MATEMATICA (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTS011-17,METODOS COMPUTACIONAIS PARA ANALISE ESTRUTURAL,3-1-0-4,EAER - ENGENHARIA AEROESPACIAL (OBR),,,,,,,,,,,,,,,,CALCULO NUMERICO,TECNICAS DE ANALISE ESTRUTURAL E PROJETO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHT4025-15,METODOS DE ANALISE EM QUIMICA ORGANICA,4-0-0-6,BQ - BACHARELADO EM QUIMICA (OBR),LQ - LICENCIATURA EM QUIMICA (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,,,,,,,FUNCOES E REACOES ORGANICAS,MECANISMOS DE REACOES ORGANICAS,QUIMICA ORGANICA EXPERIMENTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZB028-17,METODOS DE ELEMENTOS FINITOS APLICADOS A SISTEMAS BIOMEDICOS,2-3-0-5,EBIO - ENGENHARIA BIOMEDICA (OL),,,,,,,,,,,,,,,,MODELAGEM DE SISTEMAS DINAMICOS II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ3041-15,METODOS DE FORMACAO DE IMAGEM E DE INSPECAO NUCLEAR,2-2-0-5,BFIS - BACHARELADO EM FISICA (OL),,,,,,,,,,,,,,,,INTRODUCAO A FISICA NUCLEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZA014-17,METODOS DE OTIMIZACAO,4-0-0-4,BM - BACHARELADO EM MATEMATICA (OL),BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OL),,,,,,,,,,,,,,,PROGRAMACAO MATEMATICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESHP024-14,METODOS DE PESQUISA EM POLITICAS PUBLICAS,4-0-0-4,BPP - BACHARELADO EM POLITICAS PUBLICAS (OBR),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESHT010-17,METODOS DE PLANEJAMENTO,3-1-0-4,BPP - BACHARELADO EM POLITICAS PUBLICAS (OBR),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),BPT - BACHARELADO EM PLANEJAMENTO TERRITORIAL (OBR),BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OL),,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZU014-17,METODOS DE TOMADA DE DECISAO APLICADOS AO PLANEJAMENTO URBANO-AMBIENTAL,1-1-0-4,EAU - ENGENHARIA AMBIENTAL E URBANA (OL),,,,,,,,,,,,,,,,METODOS QUANTITATIVOS PARA PLANEJAMENTO ESTRATEGICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZP027-13,METODOS E TECNICAS APLICADAS AS POLITICAS PUBLICAS AMBIENTAIS,2-2-0-4,BPP - BACHARELADO EM POLITICAS PUBLICAS (L),,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZP028-13,METODOS E TECNICAS APLICADAS AS POLITICAS PUBLICAS URBANAS,2-2-0-4,BPP - BACHARELADO EM POLITICAS PUBLICAS (L),,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZC029-21,METODOS EMPIRICOS PARA AVALIACAO DE POLITICAS PUBLICAS,3-1-0-4,BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OL),,,,,,,,,,,,,,,,BASES MATEMATICAS,FUNCOES DE UMA VARIAVEL,FUNCOES DE VARIAS VARIAVEIS,ECONOMIA MATEMATICA,INTRODUCAO A PROBABILIDADE E A ESTATISTICA,INTRODUCAO A INFERENCIA ESTATISTICA,ECONOMETRIA I,ECONOMETRIA II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTO017-17,METODOS EXPERIMENTAIS EM ENGENHARIA,2-2-0-4,EAER - ENGENHARIA AEROESPACIAL (OL),EAU - ENGENHARIA AMBIENTAL E URBANA (OBR),EBIO - ENGENHARIA BIOMEDICA (OBR),EENE - ENGENHARIA DE ENERGIA (OL),EGES - ENGENHARIA DE GESTAO (OL),"EIAR - ENGENHARIA DE INSTRUMENTACAO, AUTOMACAO E ROBOTICA (OBR)",EINF - ENGENHARIA DE INFORMACAO (OBR),EMAT - ENGENHARIA DE MATERIAIS (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,INTRODUCAO AS EQUACOES DIFERENCIAIS ORDINARIAS,INTRODUCAO A PROBABILIDADE E A ESTATISTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTB031-18,METODOS MATEMATICOS APLICADOS A SISTEMAS BIOMEDICOS,6-0-0-4,EBIO - ENGENHARIA BIOMEDICA (OBR),,,,,,,,,,,,,,,,FUNCOES DE UMA VARIAVEL,INTRODUCAO AS EQUACOES DIFERENCIAIS ORDINARIAS,ALGEBRA LINEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZB023-17,METODOS NUMERICOS EM EDO’S,2-2-0-4,BM - BACHARELADO EM MATEMATICA (OL),BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OL),,,,,,,,,,,,,,,INTRODUCAO AS EQUACOES DIFERENCIAIS ORDINARIAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZB017-17,METODOS NUMERICOS EM EDP'S,2-2-0-4,BM - BACHARELADO EM MATEMATICA (OL),,,,,,,,,,,,,,,,ALGEBRA LINEAR,CALCULO NUMERICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ2097-16,METODOS PARA PRODUCAO DE FILOSOFIA,4-0-0-4,LFIL - LICENCIATURA EM FILOSOFIA (OL),,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESHP016-13,METODOS QUANTITATIVOS PARA CIENCIAS SOCIAIS,2-2-0-4,BPP - BACHARELADO EM POLITICAS PUBLICAS (OBR),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),LM - LICENCIATURA EM MATEMATICA (OL),BPT - BACHARELADO EM PLANEJAMENTO TERRITORIAL (OL),,,,,,,,,,INTRODUCAO A PROBABILIDADE E A ESTATISTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZU015-17,METODOS QUANTITATIVOS PARA PLANEJAMENTO ESTRATEGICO,1-1-0-4,EAU - ENGENHARIA AMBIENTAL E URBANA (OL),,,,,,,,,,,,,,,,METODOS EXPERIMENTAIS EM ENGENHARIA,CARTOGRAFIA E GEOPROCESSAMENTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZB024-13,METODOS VARIACIONAIS,4-0-0-4,BM - BACHARELADO EM MATEMATICA (OL),,,,,,,,,,,,,,,,ALGEBRA LINEAR,CALCULO VETORIAL E TENSORIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZG030-17,METROLOGIA,2-2-0-4,EGES - ENGENHARIA DE GESTAO (OL),,,,,,,,,,,,,,,,QUALIDADE EM SISTEMAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHT1056-15,MICROBIOLOGIA,4-2-0-4,BQ - BACHARELADO EM QUIMICA (OL),BCB - BACHARELADO EM CIENCIAS BIOLOGICAS (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OBR),BBT - BACHARELADO EM BIOTECNOLOGIA (OBR),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),LM - LICENCIATURA EM MATEMATICA (OL),,,,,,,,,,BIODIVERSIDADE: INTERACOES ENTRE ORGANISMOS E AMBIENTE,BIOLOGIA CELULAR,BIOQUIMICA FUNCIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTU010-17,MICROBIOLOGIA AMBIENTAL,3-1-0-4,BQ - BACHARELADO EM QUIMICA (OL),EAU - ENGENHARIA AMBIENTAL E URBANA (OBR),BCB - BACHARELADO EM CIENCIAS BIOLOGICAS (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,,,,,,TRANSFORMACOES QUIMICAS,"BIOQUIMICA: ESTRUTURA, PROPRIEDADE E FUNCOES DE BIOMOLECULAS",BIODIVERSIDADE: INTERACOES ENTRE ORGANISMOS E AMBIENTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZC037-21,MICROECONOMIA DO DESENVOLVIMENTO,4-0-0-3,BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OL),,,,,,,,,,,,,,,,MICROECONOMIA I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESHC025-17,MICROECONOMIA I,4-0-0-4,EGES - ENGENHARIA DE GESTAO (OL),BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OBR),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,,INTRODUCAO A ECONOMIA,BASES MATEMATICAS,ECONOMIA MATEMATICA,FUNCOES DE UMA VARIAVEL,FUNCOES DE VARIAS VARIAVEIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESHC026-21,MICROECONOMIA II,4-0-0-4,EGES - ENGENHARIA DE GESTAO (OL),BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OBR),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,,INTRODUCAO A ECONOMIA,BASES MATEMATICAS,ECONOMIA MATEMATICA,FUNCOES DE UMA VARIAVEL,FUNCOES DE VARIAS VARIAVEIS,MICROECONOMIA I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESHC029-21,MICROECONOMIA III,4-0-0-4,BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OBR),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,,,INTRODUCAO A ECONOMIA,BASES MATEMATICAS,ECONOMIA MATEMATICA,FUNCOES DE UMA VARIAVEL,FUNCOES DE VARIAS VARIAVEIS,MICROECONOMIA I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZC027-17,MICROECONOMIA SISTEMICA AMBIENTAL,4-0-0-4,BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OL),,,,,,,,,,,,,,,,BASES COMPUTACIONAIS DA CIENCIA,MICROECONOMIA I,MICROECONOMIA II,MICROECONOMIA III,ECONOMIA DO MEIO AMBIENTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZC038-21,MICROECONOMIA: PROBLEMAS AVANCADOS E TECNICAS DE RESOLUCAO,4-0-0-3,BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OL),,,,,,,,,,,,,,,,FUNCOES DE UMA VARIAVEL,FUNCOES DE VARIAS VARIAVEIS,MICROECONOMIA I,MICROECONOMIA II,MICROECONOMIA III,MICROECONOMIA SISTEMICA AMBIENTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ3042-15,MICROSCOPIA ELETRONICA,2-2-0-4,BFIS - BACHARELADO EM FISICA (OL),,,,,,,,,,,,,,,,MECANICA QUANTICA I,ESTADO SOLIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZR006-21,MIGRACOES INTERNACIONAIS,4-0-0-4,BRI - BACHARELADO EM RELACOES INTERNACIONAIS (OL),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),BPT - BACHARELADO EM PLANEJAMENTO TERRITORIAL (OL),,,,,,,,,,,,,,FORMACAO DO SISTEMA INTERNACIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZA015-13,MINERACAO DE DADOS,3-1-0-4,BN - BACHARELADO EM NEUROCIENCIA (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OL),,,,,,,,,,,,,,INTELIGENCIA ARTIFICIAL,BANCO DE DADOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESHT012-17,MOBILIZACAO PRODUTIVA DOS TERRITORIOS E DESENVOLVIMENTO LOCAL,4-0-0-4,BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),BPT - BACHARELADO EM PLANEJAMENTO TERRITORIAL (OBR),BRI - BACHARELADO EM RELACOES INTERNACIONAIS (OL),,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTB020-17,MODELAGEM DE SISTEMAS DINAMICOS I,2-2-0-4,EGES - ENGENHARIA DE GESTAO (OL),EBIO - ENGENHARIA BIOMEDICA (OBR),,,,,,,,,,,,,,,METODOS MATEMATICOS APLICADOS A SISTEMAS BIOMEDICOS,COMPUTACAO CIENTIFICA APLICADA A PROBLEMAS BIOLOGICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTB024-17,MODELAGEM DE SISTEMAS DINAMICOS II,2-2-0-4,EBIO - ENGENHARIA BIOMEDICA (OBR),,,,,,,,,,,,,,,,MODELAGEM DE SISTEMAS DINAMICOS I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTA020-17,MODELAGEM E CONTROLE,2-0-0-5,EAER - ENGENHARIA AEROESPACIAL (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),"EIAR - ENGENHARIA DE INSTRUMENTACAO, AUTOMACAO E ROBOTICA (OBR)",,,,,,,,,,,,,,INTRODUCAO AS EQUACOES DIFERENCIAIS ORDINARIAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZB038-17,MODELAGEM E SIMULACAO DO MOVIMENTO HUMANO,2-2-0-4,EBIO - ENGENHARIA BIOMEDICA (OL),,,,,,,,,,,,,,,,BIOMECANICA I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZC030-17,MODELAGEM ECONOMICA NO SECULO XXI,4-0-0-4,BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OL),,,,,,,,,,,,,,,,DESENVOLVIMENTO SOCIOECONOMICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ1079-15,MODELAGEM MOLECULAR DE SISTEMAS BIOLOGICOS,3-1-0-4,BM - BACHARELADO EM MATEMATICA (OL),BCB - BACHARELADO EM CIENCIAS BIOLOGICAS (OL),,,,,,,,,,,,,,,EQUACOES DIFERENCIAIS ORDINARIAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZG020-17,MODELOS DE COMUNICACAO NAS ORGANIZACOES,2-0-0-4,EGES - ENGENHARIA DE GESTAO (OL),BPP - BACHARELADO EM POLITICAS PUBLICAS (OL),,,,,,,,,,,,,,,CLIMA E CULTURA ORGANIZACIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZG040-17,MODELOS DE DECISAO MULTICRITERIO,0-2-0-3,EGES - ENGENHARIA DE GESTAO (OL),,,,,,,,,,,,,,,,GESTAO DE OPERACOES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
